ID_Transmision,Canal,Categoria,Espectadores_Pico,Horas_Transmitidas
19844,Streamer_18844,Esports,41363.0,10.6
17097,Streamer_16097,Musica,22402.0,9.8
10412,Streamer_9412,Esports,1245.0,3.0
2887,Streamer_1887,Musica,20220.0,7.2
9889,Streamer_8889,,35047.0,8.0
10597,Streamer_9597,Esports,8213.0,10.5
10519,Streamer_9519,Arte,7413.0,11.5
5136,Streamer_4136,Arte,48327.0,3.5
12345,Streamer_11345,Esports,27216.0,11.3
10706,Streamer_9706,Arte,39444.0,8.7
15523,Streamer_14523,Arte,50.0,4.5
16315,Streamer_15315,Esports,26348.0,1.3
11429,Streamer_10429,Arte,40703.0,3.4
5500,Streamer_4500,Just Chatting,40818.0,6.8
1459,Streamer_459,Gaming,31680.0,4.4
9358,Streamer_8358,Musica,15314.0,2.9
5318,Streamer_4318,Musica,13868.0,4.2
10955,Streamer_9955,Arte,43101.0,8.0
5194,Streamer_4194,Arte,14790.0,1.3
3978,Streamer_2978,Just Chatting,22109.0,3.3
16171,Streamer_15171,Just Chatting,24324.0,3.7
2504,Streamer_1504,Arte,26721.0,3.7
6040,Streamer_5040,Arte,24904.0,8.1
10072,Streamer_9072,Arte,16334.0,4.2
2318,Streamer_1318,Arte,48822.0,2.5
1481,Streamer_481,Gaming,20097.0,1.3
13513,Streamer_12513,Esports,27343.0,5.6
14321,Streamer_13321,Gaming,13062.0,10.1
4189,Streamer_3189,Gaming,29489.0,11.4
14700,Streamer_13700,Gaming,23314.0,6.3
15586,Streamer_14586,Arte,2662.0,10.9
10066,Streamer_9066,Arte,25115.0,6.3
1913,Streamer_913,Arte,23297.0,6.1
13758,Streamer_12758,Esports,8159.0,3.2
20994,Streamer_19994,Arte,21469.0,8.7
2660,Streamer_1660,Just Chatting,11171.0,5.5
5066,Streamer_4066,Esports,21973.0,10.7
15764,Streamer_14764,Arte,30160.0,1.3
18100,Streamer_17100,Gaming,5099.0,8.0
19823,Streamer_18823,Just Chatting,37592.0,7.3
12010,Streamer_11010,Just Chatting,45420.0,8.3
16119,Streamer_15119,Musica,13984.0,1.7
19471,Streamer_18471,Gaming,18535.0,3.7
20108,Streamer_19108,Just Chatting,17412.0,2.7
10316,Streamer_9316,Musica,31140.0,8.8
1166,Streamer_166,Gaming,19700.0,3.1
13307,Streamer_12307,,41573.0,9.8
3143,Streamer_2143,Esports,43285.0,5.8
10661,Streamer_9661,Arte,33395.0,2.0
18362,Streamer_17362,Gaming,24158.0,11.6
20103,Streamer_19103,Esports,2020.0,5.2
15889,Streamer_14889,Esports,43224.0,4.3
1938,Streamer_938,Musica,4508.0,3.4
12094,Streamer_11094,Arte,47912.0,6.7
17214,Streamer_16214,Gaming,41622.0,1.6
12395,Streamer_11395,Gaming,369.0,1.3
16854,Streamer_15854,Esports,758.0,11.0
17453,Streamer_16453,Gaming,44278.0,3.8
3631,Streamer_2631,Musica,17275.0,2.9
13380,Streamer_12380,Esports,4061.0,7.4
16699,Streamer_15699,Musica,32246.0,9.6
4612,Streamer_3612,Gaming,11465.0,6.3
14195,Streamer_13195,Just Chatting,43361.0,4.7
14558,Streamer_13558,Just Chatting,28497.0,10.4
2193,Streamer_1193,Gaming,39426.0,11.3
13350,Streamer_12350,Musica,10510.0,9.7
9444,Streamer_8444,Musica,20826.0,6.1
16828,Streamer_15828,Musica,5875.0,2.6
18216,Streamer_17216,Arte,34124.0,1.3
10335,Streamer_9335,Just Chatting,44222.0,1.0
17540,Streamer_16540,Esports,16498.0,2.0
10827,Streamer_9827,Arte,29132.0,2.2
20481,Streamer_19481,Just Chatting,16093.0,11.3
14056,Streamer_13056,Esports,4716.0,6.7
8331,Streamer_7331,Arte,38074.0,2.7
12143,Streamer_11143,Esports,21932.0,6.0
11231,Streamer_10231,Musica,7042.0,1.8
9035,Streamer_8035,Musica,28074.0,3.2
8760,Streamer_7760,Musica,1939.0,10.8
10814,Streamer_9814,Just Chatting,31701.0,8.0
4761,Streamer_3761,Esports,23618.0,7.0
10926,Streamer_9926,Just Chatting,29878.0,4.3
2171,Streamer_1171,Gaming,16512.0,11.2
10171,Streamer_9171,Esports,49849.0,9.6
16198,Streamer_15198,Gaming,18903.0,7.0
16966,Streamer_15966,Gaming,47108.0,2.1
3710,Streamer_2710,Esports,43968.0,9.5
1561,Streamer_561,Musica,17120.0,3.1
11868,Streamer_10868,Arte,23569.0,7.2
6691,Streamer_5691,Arte,40612.0,5.9
14325,Streamer_13325,Arte,18219.0,10.7
1301,Streamer_301,Arte,49191.0,1.9
19678,Streamer_18678,Esports,37730.0,2.6
1235,Streamer_235,Just Chatting,6915.0,1.0
4008,Streamer_3008,Just Chatting,31504.0,1.7
16345,Streamer_15345,Esports,28347.0,7.4
15226,Streamer_14226,Musica,42039.0,11.5
19992,Streamer_18992,Esports,46317.0,8.2
8334,Streamer_7334,Musica,6639.0,7.1
2236,Streamer_1236,Just Chatting,48599.0,1.7
3741,Streamer_2741,Arte,48475.0,11.3
18064,Streamer_17064,Gaming,39530.0,6.7
9676,Streamer_8676,Esports,25381.0,3.3
11382,Streamer_10382,Musica,45753.0,2.8
5817,Streamer_4817,Musica,45602.0,10.4
9223,Streamer_8223,Musica,16930.0,2.8
3697,Streamer_2697,Gaming,11518.0,7.2
14219,Streamer_13219,Just Chatting,49352.0,3.8
6432,Streamer_5432,Esports,9294.0,6.3
1838,Streamer_838,Arte,19200.0,5.0
15591,Streamer_14591,Arte,43903.0,1.4
13021,Streamer_12021,Gaming,14627.0,8.9
18440,Streamer_17440,Gaming,4787.0,2.9
11437,Streamer_10437,Esports,33166.0,1.5
13833,,Gaming,10715.0,4.8
20650,Streamer_19650,Esports,49247.0,3.1
3064,,Just Chatting,1553.0,5.5
11655,Streamer_10655,Gaming,15900.0,7.3
7506,Streamer_6506,Gaming,18457.0,2.9
1341,Streamer_341,Arte,9377.0,11.7
10780,Streamer_9780,Gaming,39240.0,2.6
9925,Streamer_8925,Just Chatting,3498.0,6.0
17251,Streamer_16251,Musica,34105.0,7.8
19742,Streamer_18742,Gaming,40867.0,7.2
14889,Streamer_13889,Just Chatting,8525.0,11.0
11222,Streamer_10222,Arte,16831.0,3.9
8755,Streamer_7755,Musica,28410.0,6.5
16523,Streamer_15523,Musica,4631.0,3.4
3660,Streamer_2660,Musica,23273.0,4.3
12379,Streamer_11379,Esports,24017.0,4.8
12704,Streamer_11704,Musica,23237.0,1.3
7640,Streamer_6640,Esports,26620.0,4.7
14426,Streamer_13426,Just Chatting,20209.0,8.7
18829,Streamer_17829,Arte,35131.0,2.5
11037,Streamer_10037,Just Chatting,32121.0,5.0
14134,Streamer_13134,Arte,11582.0,6.0
9144,Streamer_8144,Just Chatting,49084.0,6.6
9176,Streamer_8176,Esports,22962.0,9.9
7986,Streamer_6986,Musica,4119.0,10.1
13532,Streamer_12532,Musica,45187.0,10.7
10193,Streamer_9193,Arte,6625.0,9.4
12521,Streamer_11521,Esports,20785.0,6.3
17100,Streamer_16100,Gaming,17246.0,9.2
20867,Streamer_19867,Arte,6023.0,8.5
4378,Streamer_3378,Gaming,29063.0,2.4
8338,Streamer_7338,Gaming,13021.0,8.3
16779,Streamer_15779,Gaming,36833.0,5.2
9630,Streamer_8630,Gaming,40724.0,5.2
15572,Streamer_14572,Gaming,13203.0,7.0
8756,Streamer_7756,Arte,45340.0,1.6
8365,Streamer_7365,Arte,35059.0,3.4
4513,Streamer_3513,Musica,40651.0,3.8
1110,Streamer_110,Arte,3501.0,5.0
3417,Streamer_2417,Gaming,18171.0,2.3
11186,Streamer_10186,Musica,3654.0,7.3
12124,Streamer_11124,Esports,23404.0,8.0
11764,Streamer_10764,Just Chatting,21968.0,4.8
9714,Streamer_8714,,896.0,11.0
18588,Streamer_17588,Esports,5150.0,11.9
11780,,Gaming,18986.0,6.5
6213,Streamer_5213,Esports,44857.0,4.3
13992,Streamer_12992,Gaming,28366.0,2.8
16800,Streamer_15800,Musica,10366.0,7.6
9767,Streamer_8767,Gaming,38408.0,9.0
13327,Streamer_12327,Musica,44998.0,2.3
3123,Streamer_2123,Just Chatting,26734.0,11.5
5145,Streamer_4145,Gaming,49698.0,4.3
16373,Streamer_15373,Arte,8554.0,6.0
2217,Streamer_1217,Esports,25768.0,4.7
8988,Streamer_7988,Musica,48689.0,11.3
8316,Streamer_7316,Arte,12191.0,1.6
2489,Streamer_1489,Gaming,38658.0,7.3
2084,Streamer_1084,Esports,36892.0,4.5
5700,Streamer_4700,Esports,18560.0,7.1
18328,Streamer_17328,Arte,34597.0,8.2
19062,Streamer_18062,Just Chatting,39758.0,9.5
6737,Streamer_5737,Arte,6705.0,3.1
10439,Streamer_9439,Esports,1648.0,9.5
5387,Streamer_4387,Gaming,9533.0,4.0
11045,Streamer_10045,Arte,20483.0,5.8
6989,Streamer_5989,Just Chatting,14837.0,11.0
5069,Streamer_4069,Gaming,49254.0,4.2
10009,Streamer_9009,Gaming,1447.0,5.5
12539,Streamer_11539,Musica,19123.0,7.7
5092,Streamer_4092,Esports,43876.0,6.8
19899,Streamer_18899,Musica,42939.0,2.7
13727,Streamer_12727,Just Chatting,22244.0,6.6
5988,Streamer_4988,Esports,3924.0,3.3
10947,Streamer_9947,Gaming,49764.0,6.4
18896,Streamer_17896,Musica,40667.0,10.3
17403,Streamer_16403,Just Chatting,7039.0,9.2
17328,Streamer_16328,Gaming,13623.0,5.7
18228,Streamer_17228,Gaming,17949.0,9.0
5654,Streamer_4654,,426.0,4.5
7924,Streamer_6924,Just Chatting,14164.0,6.4
2408,Streamer_1408,Arte,23563.0,2.9
15359,Streamer_14359,Arte,49313.0,4.6
6096,Streamer_5096,Gaming,31491.0,5.3
12315,Streamer_11315,Gaming,29885.0,3.0
12716,Streamer_11716,Arte,30649.0,7.5
17952,Streamer_16952,Esports,2335.0,11.3
12258,Streamer_11258,Musica,20309.0,3.3
7003,Streamer_6003,Just Chatting,29417.0,10.9
16581,Streamer_15581,Arte,47956.0,8.5
12602,Streamer_11602,Gaming,16268.0,1.5
6287,Streamer_5287,Arte,49484.0,1.7
2420,Streamer_1420,Esports,14461.0,2.4
4143,Streamer_3143,Gaming,23261.0,5.3
8595,Streamer_7595,Just Chatting,14553.0,10.2
20481,Streamer_19481,Just Chatting,16093.0,11.3
10067,Streamer_9067,Just Chatting,26970.0,10.4
2116,Streamer_1116,Musica,37937.0,11.7
4798,Streamer_3798,,40401.0,2.4
9423,Streamer_8423,Arte,8322.0,8.7
6062,Streamer_5062,Arte,48728.0,2.5
18051,Streamer_17051,Esports,46381.0,9.5
3811,Streamer_2811,Gaming,41506.0,4.3
20308,Streamer_19308,Esports,15334.0,5.0
13187,Streamer_12187,Just Chatting,38629.0,8.6
4481,Streamer_3481,Just Chatting,1035.0,11.0
12603,Streamer_11603,Esports,39417.0,6.3
2156,Streamer_1156,Esports,47650.0,11.9
19667,Streamer_18667,Arte,19184.0,10.2
6232,Streamer_5232,Just Chatting,23050.0,10.5
8637,Streamer_7637,Esports,35712.0,6.0
4153,Streamer_3153,Just Chatting,31384.0,3.2
12645,Streamer_11645,Musica,20847.0,9.3
20117,Streamer_19117,Esports,23762.0,2.9
3942,Streamer_2942,Arte,26513.0,5.7
13642,Streamer_12642,Arte,29887.0,10.2
4123,Streamer_3123,Musica,38969.0,4.2
20507,Streamer_19507,Arte,19651.0,8.4
8782,Streamer_7782,Arte,43840.0,6.4
17342,Streamer_16342,Just Chatting,3560.0,6.3
5678,Streamer_4678,Gaming,5709.0,5.4
5064,Streamer_4064,Esports,16883.0,9.1
14365,Streamer_13365,Gaming,14117.0,2.3
19285,Streamer_18285,Arte,32687.0,3.8
2621,Streamer_1621,Arte,9826.0,5.4
7007,Streamer_6007,Musica,46815.0,2.7
4163,Streamer_3163,Gaming,19285.0,7.2
3992,Streamer_2992,Gaming,8954.0,7.6
2108,Streamer_1108,,15397.0,2.7
8740,Streamer_7740,Gaming,34072.0,9.3
6577,Streamer_5577,Arte,43297.0,3.0
7333,Streamer_6333,Esports,9159.0,10.1
15654,Streamer_14654,Gaming,3733.0,1.0
10688,Streamer_9688,Just Chatting,18409.0,5.2
6284,Streamer_5284,Gaming,728.0,9.0
12032,Streamer_11032,Arte,6898.0,6.9
16323,Streamer_15323,Arte,31965.0,2.4
1392,Streamer_392,Arte,32505.0,3.4
11328,Streamer_10328,Musica,46078.0,2.8
10295,Streamer_9295,Musica,39054.0,3.2
20267,Streamer_19267,Just Chatting,18615.0,5.1
4520,Streamer_3520,Musica,16022.0,6.9
17895,Streamer_16895,Musica,48615.0,5.9
12293,Streamer_11293,Just Chatting,31625.0,4.3
16020,Streamer_15020,Esports,41233.0,7.3
13120,Streamer_12120,Esports,47586.0,8.1
2029,Streamer_1029,,28597.0,4.0
12018,Streamer_11018,Arte,42237.0,11.8
2438,Streamer_1438,Esports,15105.0,11.2
9522,Streamer_8522,Just Chatting,3663.0,5.5
7725,Streamer_6725,Just Chatting,17079.0,5.5
14231,Streamer_13231,Just Chatting,33918.0,6.1
15872,Streamer_14872,Gaming,20423.0,2.9
11028,Streamer_10028,Gaming,26024.0,3.4
3564,Streamer_2564,Musica,9578.0,8.0
7019,Streamer_6019,Musica,48582.0,6.0
12300,Streamer_11300,Just Chatting,23125.0,5.6
4704,Streamer_3704,Gaming,32688.0,4.2
6548,Streamer_5548,Esports,14973.0,1.2
10958,Streamer_9958,Arte,13038.0,6.8
9687,Streamer_8687,Arte,45327.0,2.7
15402,Streamer_14402,Musica,9226.0,10.1
19873,Streamer_18873,Gaming,33284.0,2.4
10898,Streamer_9898,Arte,27743.0,8.0
1816,Streamer_816,Gaming,17457.0,8.2
7063,Streamer_6063,Gaming,36619.0,10.8
12097,Streamer_11097,Musica,11323.0,3.4
2587,Streamer_1587,Arte,36207.0,9.0
13794,Streamer_12794,Just Chatting,17554.0,9.2
14703,Streamer_13703,Gaming,20718.0,5.2
14734,Streamer_13734,Esports,41881.0,3.7
10804,Streamer_9804,Arte,26661.0,5.5
15224,Streamer_14224,Arte,26163.0,10.8
6493,Streamer_5493,Esports,38627.0,11.1
6308,Streamer_5308,Arte,23709.0,11.4
12524,Streamer_11524,Musica,48540.0,9.3
18786,Streamer_17786,Just Chatting,26853.0,8.3
2807,Streamer_1807,Just Chatting,25517.0,3.0
14289,Streamer_13289,Musica,48103.0,6.5
3897,Streamer_2897,,7385.0,10.7
17016,Streamer_16016,Gaming,36747.0,5.2
10470,Streamer_9470,Esports,18777.0,8.2
11265,Streamer_10265,Esports,6458.0,1.2
5634,Streamer_4634,Esports,47638.0,4.1
20033,Streamer_19033,Arte,22827.0,7.5
20094,Streamer_19094,Musica,10370.0,7.0
18428,Streamer_17428,Just Chatting,,1.4
8186,Streamer_7186,Esports,45170.0,6.0
19617,Streamer_18617,Gaming,9520.0,9.3
6657,Streamer_5657,Arte,35029.0,6.1
19995,Streamer_18995,Just Chatting,32095.0,6.0
6389,Streamer_5389,Esports,33475.0,1.9
13926,Streamer_12926,Just Chatting,42946.0,5.1
12627,Streamer_11627,Gaming,42828.0,2.8
16582,Streamer_15582,Just Chatting,15242.0,5.7
13463,Streamer_12463,Gaming,,8.4
6953,Streamer_5953,Arte,12889.0,8.4
13930,Streamer_12930,Gaming,32453.0,9.7
13011,Streamer_12011,Just Chatting,12016.0,5.7
6103,Streamer_5103,Arte,3998.0,11.8
5291,Streamer_4291,Gaming,3115.0,3.2
4266,Streamer_3266,Musica,,5.2
14238,Streamer_13238,Just Chatting,26406.0,2.5
17787,Streamer_16787,Just Chatting,9250.0,2.0
6302,Streamer_5302,Arte,39093.0,3.6
7554,Streamer_6554,Musica,17263.0,10.8
2763,Streamer_1763,Esports,30996.0,9.3
9821,Streamer_8821,,34167.0,11.3
1357,Streamer_357,Musica,747.0,10.1
4580,Streamer_3580,Esports,48739.0,2.0
6305,Streamer_5305,Arte,42336.0,5.5
2324,,Arte,43763.0,11.4
9443,Streamer_8443,Arte,41157.0,1.6
17238,Streamer_16238,Just Chatting,37803.0,10.2
7159,Streamer_6159,Arte,10531.0,3.1
9508,Streamer_8508,Just Chatting,34519.0,5.0
12505,Streamer_11505,Just Chatting,15741.0,8.0
11702,Streamer_10702,Arte,25333.0,9.0
17850,Streamer_16850,Musica,31016.0,2.5
1396,Streamer_396,Musica,47642.0,7.5
20500,Streamer_19500,Arte,47240.0,7.2
19739,Streamer_18739,Arte,15516.0,11.9
5360,Streamer_4360,Gaming,41345.0,8.3
10357,Streamer_9357,Arte,25968.0,8.8
18083,Streamer_17083,Esports,4510.0,11.0
9299,Streamer_8299,Just Chatting,37192.0,2.2
12314,Streamer_11314,Gaming,32649.0,5.0
15524,Streamer_14524,Musica,4803.0,2.1
10035,Streamer_9035,Musica,25603.0,4.5
6318,Streamer_5318,Just Chatting,22831.0,1.9
7482,Streamer_6482,Gaming,33363.0,11.2
1045,Streamer_45,Musica,39050.0,11.1
5021,Streamer_4021,Just Chatting,34883.0,8.4
16938,Streamer_15938,Esports,20384.0,5.2
7118,,Esports,32405.0,4.5
7773,Streamer_6773,Arte,39021.0,9.0
6970,Streamer_5970,Gaming,16491.0,7.7
10121,Streamer_9121,Arte,11105.0,6.5
15360,Streamer_14360,Esports,35890.0,9.9
11614,Streamer_10614,Just Chatting,19435.0,8.1
18005,Streamer_17005,Musica,48208.0,5.7
3082,Streamer_2082,Esports,28321.0,11.4
8618,Streamer_7618,Arte,11650.0,5.1
11783,Streamer_10783,Just Chatting,49869.0,8.3
3608,Streamer_2608,Musica,34212.0,3.7
8792,Streamer_7792,Arte,33987.0,3.1
4716,Streamer_3716,Arte,12500.0,1.1
11009,Streamer_10009,Just Chatting,46624.0,9.3
2210,Streamer_1210,Gaming,42322.0,3.3
1679,Streamer_679,Musica,29844.0,8.9
4132,Streamer_3132,Gaming,48254.0,7.4
4898,Streamer_3898,Gaming,8501.0,11.1
7830,Streamer_6830,Musica,49865.0,7.0
7963,Streamer_6963,Gaming,32726.0,9.4
19904,Streamer_18904,Just Chatting,35850.0,6.6
19239,Streamer_18239,Gaming,9334.0,8.8
9909,Streamer_8909,Musica,30721.0,11.3
11561,Streamer_10561,Arte,17430.0,4.0
5690,Streamer_4690,Just Chatting,8511.0,5.1
13606,Streamer_12606,,697.0,4.2
20379,Streamer_19379,Musica,25611.0,9.5
9084,Streamer_8084,Arte,8309.0,5.2
10395,Streamer_9395,Gaming,2286.0,2.4
11567,Streamer_10567,Esports,8138.0,3.2
13030,Streamer_12030,Gaming,,8.6
8301,Streamer_7301,Esports,14987.0,11.6
13719,Streamer_12719,Arte,28086.0,4.1
12948,Streamer_11948,Esports,43040.0,3.6
19333,Streamer_18333,Esports,33408.0,7.8
7879,Streamer_6879,Arte,36548.0,9.2
6945,Streamer_5945,Arte,38661.0,6.0
8276,Streamer_7276,Musica,14458.0,9.1
7537,Streamer_6537,Esports,25078.0,8.6
14638,Streamer_13638,Just Chatting,47276.0,9.9
5402,Streamer_4402,Esports,19606.0,9.2
6469,Streamer_5469,Gaming,46580.0,1.3
9243,Streamer_8243,Esports,12686.0,8.9
6419,Streamer_5419,Just Chatting,13231.0,9.2
3752,Streamer_2752,Just Chatting,45456.0,11.5
10030,Streamer_9030,Musica,26686.0,4.6
20870,Streamer_19870,Just Chatting,32905.0,8.0
9235,Streamer_8235,Esports,45558.0,6.8
13784,Streamer_12784,Just Chatting,27528.0,10.7
17133,Streamer_16133,Musica,27069.0,1.7
19350,Streamer_18350,Esports,46388.0,11.1
12775,Streamer_11775,Just Chatting,,4.2
15634,Streamer_14634,Musica,43160.0,6.2
15277,Streamer_14277,Gaming,10194.0,8.5
5499,Streamer_4499,Arte,17722.0,10.4
4249,Streamer_3249,Gaming,44762.0,7.7
8409,Streamer_7409,Gaming,40944.0,10.1
18580,Streamer_17580,Esports,21706.0,11.5
17790,Streamer_16790,Arte,29284.0,7.7
13759,Streamer_12759,Musica,38089.0,1.7
20687,Streamer_19687,Gaming,31009.0,6.6
15609,Streamer_14609,Gaming,19726.0,11.9
14608,Streamer_13608,Musica,24065.0,1.4
1197,Streamer_197,Arte,32668.0,1.5
17838,Streamer_16838,Arte,1083.0,8.3
18531,Streamer_17531,Esports,16052.0,7.5
3699,Streamer_2699,Esports,40999.0,11.3
20353,Streamer_19353,Esports,31488.0,11.4
20941,Streamer_19941,Just Chatting,14843.0,4.5
17244,Streamer_16244,Just Chatting,21187.0,10.3
6070,Streamer_5070,Musica,40572.0,2.7
4382,Streamer_3382,Musica,27308.0,3.1
10260,Streamer_9260,Esports,44462.0,6.4
9386,Streamer_8386,Just Chatting,46347.0,1.3
4790,Streamer_3790,Just Chatting,49951.0,6.6
12231,Streamer_11231,Musica,34990.0,2.8
1703,Streamer_703,Musica,26582.0,2.5
7736,Streamer_6736,Arte,24871.0,4.2
6825,Streamer_5825,Musica,12688.0,10.1
16426,Streamer_15426,Gaming,3485.0,10.7
18876,Streamer_17876,Just Chatting,28812.0,8.8
6184,Streamer_5184,Arte,,10.2
15339,Streamer_14339,Gaming,32271.0,11.4
3835,Streamer_2835,Just Chatting,46867.0,10.5
4119,Streamer_3119,Gaming,22882.0,11.1
13643,Streamer_12643,Just Chatting,30033.0,8.4
18027,Streamer_17027,Arte,38438.0,8.0
17625,Streamer_16625,Musica,713.0,2.5
1527,Streamer_527,Just Chatting,1788.0,4.2
16451,Streamer_15451,Musica,18832.0,3.9
13304,Streamer_12304,Arte,1819.0,7.6
14964,Streamer_13964,Musica,28216.0,11.6
18229,Streamer_17229,Musica,15351.0,8.1
3782,Streamer_2782,Musica,21163.0,3.4
10516,Streamer_9516,Just Chatting,40039.0,2.0
17738,Streamer_16738,Just Chatting,5728.0,2.2
1091,Streamer_91,Gaming,49286.0,5.7
2637,Streamer_1637,Just Chatting,47497.0,2.7
1636,Streamer_636,Just Chatting,16286.0,1.6
1694,Streamer_694,Just Chatting,43296.0,1.8
16126,Streamer_15126,Esports,24504.0,11.5
4412,Streamer_3412,Just Chatting,40008.0,2.3
9274,Streamer_8274,Musica,33856.0,8.9
8499,Streamer_7499,Gaming,17637.0,4.8
14439,Streamer_13439,Just Chatting,20876.0,4.0
4055,Streamer_3055,,7693.0,7.6
3197,Streamer_2197,Musica,18955.0,11.3
