ID_Envio,Region,Varietal,Destino,Botellas_Exportadas,Ingreso_Dolares
52696,San Rafael,Malbec,China,668,10017.514891543042
53476,Valle de Uco,Chardonnay,Brasil,1670,26160.571178978917
53376,Lujan de Cuyo,Syrah,USA,1386,26642.901005307125
51099,Maipu,Malbec,UK,1007,11577.926052944002
50552,Lujan de Cuyo,Syrah,UK,912,11948.34191086243
51137,Valle de Uco,Chardonnay,Brasil,818,8830.510127145295
50447,Maipu,Syrah,China,1765,28375.046712893425
52327,Maipu,Malbec,China,1035,24286.705383895554
52049,San Rafael,Malbec,Brasil,1466,16975.153622205456
50470,Maipu,Syrah,USA,945,22954.06549308551
52907,Valle de Uco,Malbec,China,993,19963.365695240256
52754,Maipu,Cabernet Sauvignon,UK,1033,15655.694826513189
52822,San Rafael,Malbec,UK,903,9207.592014459418
50185,Valle de Uco,Malbec,UK,863,16801.64245988247
51060,Lujan de Cuyo,Syrah,USA,1157,17289.800698020244
51613,San Rafael,Chardonnay,USA,936,12934.67115678105
51469,Lujan de Cuyo,Chardonnay,USA,1530,20322.142590556585
50398,Maipu,Chardonnay,UK,1405,28661.8556948308
51547,Lujan de Cuyo,Malbec,Brasil,851,17715.02114536624
53146,Maipu,Syrah,UK,826,12995.355829268885
52784,Maipu,Cabernet Sauvignon,Brasil,1759,23038.062639390377
52715,Lujan de Cuyo,Malbec,UK,1253,14246.723443357523
53049,Valle de Uco,Chardonnay,USA,1383,30124.572142001034
50626,San Rafael,Chardonnay,Brasil,1270,20705.853674311755
50845,Maipu,Cabernet Sauvignon,USA,1412,20636.57635645031
50833,Lujan de Cuyo,Syrah,USA,834,8513.71712468332
50728,Lujan de Cuyo,Malbec,Brasil,1389,20457.94578946816
50269,San Rafael,Malbec,UK,503,6360.099834369268
51451,Maipu,Malbec,Brasil,1000,18388.27987430937
52454,Maipu,Syrah,Brasil,1375,28271.66062872191
52746,Lujan de Cuyo,Syrah,USA,1450,26661.61046107565
52762,Maipu,Cabernet Sauvignon,UK,845,13988.465408449672
51873,Valle de Uco,Chardonnay,USA,1597,31246.792420033464
52299,Maipu,Malbec,UK,966,13217.411650439615
50163,San Rafael,Chardonnay,China,1298,15184.252407675824
51677,Lujan de Cuyo,Chardonnay,UK,1301,24403.125526968724
53037,San Rafael,Chardonnay,Brasil,1473,19163.72699672768
51984,Valle de Uco,Cabernet Sauvignon,Brasil,1252,12639.44199191309
52998,Maipu,Syrah,UK,787,13957.551048444568
53374,Valle de Uco,Chardonnay,USA,1484,20890.725500788536
53441,Maipu,Malbec,USA,1302,16411.358256049887
50202,Valle de Uco,Cabernet Sauvignon,UK,1466,35642.977242988534
50978,Lujan de Cuyo,Cabernet Sauvignon,Brasil,906,22453.062257262412
50352,Lujan de Cuyo,Malbec,Brasil,1194,17245.94837519955
51675,Maipu,Syrah,China,1278,14378.329642248122
53031,Valle de Uco,Cabernet Sauvignon,UK,1268,19427.201211620253
53059,Lujan de Cuyo,Syrah,UK,1352,27104.20970619089
51422,Valle de Uco,Chardonnay,Brasil,1384,33339.06705612312
51365,San Rafael,Chardonnay,UK,1026,20308.612361302257
50124,San Rafael,Chardonnay,China,1355,18806.154838273997
51180,Lujan de Cuyo,Syrah,UK,1244,26762.806413594393
51263,Lujan de Cuyo,Chardonnay,Brasil,1565,17845.188340434288
51144,Valle de Uco,Malbec,UK,851,15347.28181509249
50278,San Rafael,Syrah,UK,1063,12530.360758619248
52001,San Rafael,Chardonnay,China,1480,20196.180921566756
51787,Maipu,Malbec,China,921,10160.184801853493
52724,Maipu,Malbec,Brasil,817,20140.77643144865
51086,San Rafael,Chardonnay,USA,790,10249.752049274164
51900,Valle de Uco,Syrah,China,819,16803.948118559227
53279,Lujan de Cuyo,Chardonnay,Brasil,1106,20171.707803979312
53156,Lujan de Cuyo,Syrah,China,964,15276.213102213405
52648,Valle de Uco,Syrah,Brasil,765,11432.814225279406
53006,San Rafael,Malbec,Brasil,1298,22204.029362868143
52546,San Rafael,Chardonnay,Brasil,1183,13847.439402376049
51750,Maipu,Chardonnay,Brasil,1166,15315.663916471976
52912,Maipu,Malbec,China,1417,24659.215924462507
52824,Lujan de Cuyo,Cabernet Sauvignon,China,1077,21904.01560572562
51463,Lujan de Cuyo,Syrah,USA,1237,13469.941636936657
50195,Valle de Uco,Cabernet Sauvignon,China,1122,23694.670688063274
53242,San Rafael,Cabernet Sauvignon,USA,1663,41465.353292922686
51054,Valle de Uco,Chardonnay,Brasil,1259,24004.269860119144
52726,Valle de Uco,Syrah,USA,1267,14776.830672859
53373,San Rafael,Cabernet Sauvignon,Brasil,1238,16006.453614209708
51890,Valle de Uco,Syrah,Brasil,917,19506.835947207335
51334,Lujan de Cuyo,Malbec,UK,1307,19262.759554375396
52796,San Rafael,Chardonnay,Brasil,1289,14635.10052158299
53413,Maipu,Syrah,China,1069,23503.157321991006
51844,Valle de Uco,Chardonnay,USA,481,6727.359934995902
53256,San Rafael,Cabernet Sauvignon,UK,1067,
52431,Lujan de Cuyo,Chardonnay,China,1070,15649.73462680207
50905,Valle de Uco,Cabernet Sauvignon,UK,1037,24822.75727411345
52625,Valle de Uco,Syrah,Brasil,1436,27378.692083236558
51486,San Rafael,Syrah,Brasil,1658,29777.78888768853
52353,San Rafael,Cabernet Sauvignon,Brasil,1198,19847.08223317751
52892,Valle de Uco,Cabernet Sauvignon,USA,1891,29309.573785493518
51408,San Rafael,Malbec,USA,1487,31838.98920107716
52605,Lujan de Cuyo,Cabernet Sauvignon,China,704,15650.636530151822
53402,Valle de Uco,Chardonnay,USA,775,19075.62786061115
52889,Maipu,Cabernet Sauvignon,USA,796,8197.853495977059
52537,Maipu,Chardonnay,USA,1024,14564.60831264406
53197,Valle de Uco,Syrah,USA,1912,33431.8046092961
51562,Lujan de Cuyo,Malbec,Brasil,1402,15022.299956766834
52482,San Rafael,Syrah,USA,1701,19820.992517498402
50823,Lujan de Cuyo,Cabernet Sauvignon,UK,843,9572.882421543187
50956,Maipu,Cabernet Sauvignon,UK,928,14682.418480330152
52093,Maipu,Malbec,USA,759,11622.443233294463
51616,Maipu,Malbec,UK,1442,18762.946941247526
51344,Maipu,Syrah,China,936,15768.936178013362
50910,Valle de Uco,Chardonnay,USA,1749,32051.763758517194
51747,Lujan de Cuyo,Syrah,USA,1176,14570.38471554672
53468,San Rafael,Chardonnay,UK,1278,22460.694344376807
51606,Maipu,Cabernet Sauvignon,UK,1228,14117.119220061166
50703,Maipu,Syrah,China,1123,18052.499228065648
52219,Maipu,Chardonnay,UK,991,15339.437873306217
50802,Valle de Uco,Chardonnay,China,955,17948.52338392075
51888,Lujan de Cuyo,Chardonnay,UK,1169,21186.98313605384
51294,Valle de Uco,Malbec,China,1542,26238.042164243434
53474,Valle de Uco,Cabernet Sauvignon,China,1189,13767.090139452985
50001,Lujan de Cuyo,Chardonnay,USA,1586,37370.52421211299
51951,San Rafael,Chardonnay,USA,996,24702.579391189713
51915,Valle de Uco,Malbec,China,904,22349.19178601775
51292,Valle de Uco,Chardonnay,UK,1018,17688.201272928945
53021,San Rafael,Cabernet Sauvignon,China,1120,22736.04116506283
51216,Lujan de Cuyo,Cabernet Sauvignon,China,1368,16080.793629504908
52590,Maipu,Cabernet Sauvignon,UK,1176,25838.186186746865
53224,Lujan de Cuyo,Cabernet Sauvignon,USA,1366,25357.79486754941
53147,Maipu,Malbec,UK,1172,25547.923951640503
51664,Lujan de Cuyo,Cabernet Sauvignon,USA,742,8191.005388097535
51039,San Rafael,Malbec,Brasil,789,11559.853222031643
53046,Maipu,Chardonnay,UK,824,15015.305133498234
50797,Maipu,Cabernet Sauvignon,China,1617,26534.99347622016
50599,San Rafael,Malbec,UK,743,16000.436656753478
51859,Lujan de Cuyo,Malbec,UK,1808,29626.671805379243
51059,Valle de Uco,Chardonnay,USA,1089,25831.413504480362
51328,Valle de Uco,Chardonnay,UK,1242,19220.60329689282
53468,San Rafael,Chardonnay,UK,1278,22460.694344376807
53192,Maipu,Malbec,USA,1599,25062.664895453785
51678,San Rafael,Syrah,UK,1118,12738.78607846772
50824,Valle de Uco,Cabernet Sauvignon,UK,926,10733.642595360954
50947,San Rafael,Cabernet Sauvignon,Brasil,934,19823.91325085066
52842,Lujan de Cuyo,Chardonnay,Brasil,932,10541.658183674492
50927,San Rafael,Malbec,China,38231,30087.820094686766
52001,San Rafael,Chardonnay,China,1480,20196.180921566756
50056,Lujan de Cuyo,Malbec,USA,1229,28074.626263869995
52677,Lujan de Cuyo,Syrah,UK,1371,14993.814296057108
51337,Lujan de Cuyo,Malbec,UK,1298,30355.607631475363
50271,San Rafael,Chardonnay,USA,1006,14212.924937221625
51301,San Rafael,Malbec,China,1270,20278.770875096492
51947,Valle de Uco,Cabernet Sauvignon,Brasil,1426,26843.29143144613
50856,San Rafael,Malbec,UK,1384,21955.981226733053
53426,Valle de Uco,Cabernet Sauvignon,USA,906,19143.548809534273
52514,San Rafael,Cabernet Sauvignon,Brasil,678,9283.477851076144
50246,Maipu,Chardonnay,USA,1556,20552.891229065826
50193,Lujan de Cuyo,Syrah,UK,1117,12720.621241460876
51141,Maipu,Chardonnay,Brasil,647,13514.762387374814
51730,San Rafael,Chardonnay,Brasil,1188,29399.834639644643
53109,San Rafael,Malbec,UK,1635,30811.28427219418
52976,Valle de Uco,Cabernet Sauvignon,China,933,15404.599179117515
53025,Maipu,Syrah,UK,654,8286.988061423524
52520,Maipu,Malbec,USA,1694,37225.74711371685
52568,Lujan de Cuyo,Syrah,USA,1229,20643.93667867743
53233,San Rafael,Syrah,UK,1030,17089.147656838657
52805,San Rafael,Chardonnay,UK,923,
51476,San Rafael,Cabernet Sauvignon,China,1004,23118.137321406888
52235,Lujan de Cuyo,Syrah,USA,1445,32989.31819616345
51720,Valle de Uco,Malbec,UK,549,10788.547496341043
52793,Maipu,Chardonnay,USA,1661,24668.890511315916
53120,Maipu,Cabernet Sauvignon,Brasil,1249,17862.74742595096
52092,Maipu,Cabernet Sauvignon,USA,1630,33359.777505379185
52485,Lujan de Cuyo,Cabernet Sauvignon,China,850,18394.491673010114
53453,San Rafael,Malbec,UK,1407,16089.784857725277
50838,Lujan de Cuyo,Syrah,China,1593,35968.131837484405
50661,San Rafael,Malbec,China,1151,21715.603394956273
51433,San Rafael,Cabernet Sauvignon,China,1231,22790.40096182052
51164,San Rafael,Chardonnay,China,637,13741.302214423222
50627,Valle de Uco,Syrah,UK,1781,23141.371496217354
52543,Valle de Uco,Malbec,UK,789,10415.536774120363
52983,San Rafael,Syrah,USA,1618,17456.93497513089
50567,San Rafael,Malbec,UK,1573,28511.49070275969
52777,Lujan de Cuyo,Malbec,China,1268,14014.752126956299
52362,Lujan de Cuyo,Syrah,UK,1466,14724.494385985015
50503,Lujan de Cuyo,Syrah,Brasil,1141,14046.876744297339
51047,Lujan de Cuyo,Malbec,Brasil,851,15116.010551036261
51467,Maipu,Malbec,USA,1345,29287.951645306486
50427,Lujan de Cuyo,Malbec,UK,1294,26384.4262646868
52690,Valle de Uco,Malbec,UK,1068,14593.938255828429
52641,Lujan de Cuyo,Malbec,Brasil,1137,15583.269508646275
51997,Maipu,Chardonnay,USA,1335,22617.897079174516
53234,Valle de Uco,Syrah,China,764,16275.304206371991
52866,Valle de Uco,Cabernet Sauvignon,Brasil,847,10415.40495947135
52351,Maipu,Malbec,China,1360,25344.869637379674
50439,Valle de Uco,Syrah,Brasil,710,11622.988653215194
51628,Valle de Uco,Cabernet Sauvignon,China,1147,24587.75513548919
51732,Lujan de Cuyo,Chardonnay,China,1337,14619.465967352377
52614,Valle de Uco,Syrah,USA,1295,29607.390516781303
50689,Lujan de Cuyo,Chardonnay,Brasil,1591,27318.516191608225
50449,Maipu,Syrah,China,1389,18688.106569951506
52072,Maipu,Cabernet Sauvignon,China,1095,27201.51920295113
53071,San Rafael,Syrah,China,1395,21154.512349350793
50901,San Rafael,Malbec,UK,1205,14786.5336988606
51285,Valle de Uco,Malbec,UK,1287,17022.963420096185
52275,Lujan de Cuyo,Syrah,UK,1635,37672.0556470883
50481,Valle de Uco,Malbec,China,1378,29263.765394566835
53133,Valle de Uco,Cabernet Sauvignon,Brasil,40961,8498.845675271488
52356,Lujan de Cuyo,Chardonnay,UK,1352,16275.231702180125
52763,Lujan de Cuyo,Chardonnay,Brasil,1135,23202.320015112608
53296,Lujan de Cuyo,Cabernet Sauvignon,USA,905,12329.358164298827
53383,San Rafael,Cabernet Sauvignon,China,849,17036.11880401352
50582,San Rafael,Malbec,USA,1276,23764.408103273046
51974,San Rafael,Chardonnay,UK,1285,25737.944488617766
50787,Valle de Uco,Malbec,USA,755,10426.569386346551
52477,Valle de Uco,Syrah,Brasil,967,16911.08806627202
51636,San Rafael,Malbec,China,1168,13481.7327242079
50482,Maipu,Malbec,China,1256,
51724,San Rafael,Cabernet Sauvignon,USA,1131,28207.45511659374
50359,San Rafael,Cabernet Sauvignon,USA,1531,21585.738390346825
53259,Maipu,Malbec,Brasil,892,10772.291031065448
51798,Lujan de Cuyo,Syrah,Brasil,1204,20025.501096385447
52121,Lujan de Cuyo,Cabernet Sauvignon,USA,1039,21193.584280986885
52971,Valle de Uco,Syrah,USA,1107,21879.28187980376
50396,Lujan de Cuyo,Malbec,USA,1052,18030.864202952536
51448,Valle de Uco,Syrah,China,771,12477.319388199772
52935,San Rafael,Malbec,USA,881,13099.94257722102
53074,Lujan de Cuyo,Malbec,UK,1395,21530.23450401845
52643,San Rafael,Cabernet Sauvignon,China,1261,13264.692987349767
52649,Maipu,Chardonnay,USA,636,15421.44625764276
50475,Maipu,Chardonnay,UK,783,14813.607023911605
52501,Lujan de Cuyo,Malbec,USA,980,19743.67416430498
52324,San Rafael,Syrah,USA,1248,19503.626659854497
52023,Valle de Uco,Chardonnay,USA,825,9095.224915751636
50731,Maipu,Syrah,China,1134,14353.333052658332
52211,Maipu,Syrah,Brasil,1068,22616.64136681084
53302,Lujan de Cuyo,Chardonnay,China,1785,19433.67771606094
52565,Maipu,Syrah,USA,1497,22306.0012723481
53047,Maipu,Chardonnay,UK,1109,24786.58025966326
51505,Maipu,Chardonnay,Brasil,961,19322.855776222834
50986,Lujan de Cuyo,Syrah,USA,1054,23755.092612158995
52357,Valle de Uco,Chardonnay,Brasil,1083,25795.287436151913
50522,Maipu,Cabernet Sauvignon,Brasil,1324,19985.366287171666
50501,Maipu,Malbec,USA,1034,22062.982177613994
50568,San Rafael,Cabernet Sauvignon,Brasil,886,12302.65721571916
50491,Maipu,Chardonnay,China,1240,28432.768949138765
52496,Valle de Uco,Cabernet Sauvignon,China,1135,13838.39510097919
50441,San Rafael,Cabernet Sauvignon,UK,363,7252.050261516095
52241,Valle de Uco,Syrah,Brasil,1433,30806.659561621607
52450,Lujan de Cuyo,Cabernet Sauvignon,USA,1667,18769.12679180377
52562,Valle de Uco,Cabernet Sauvignon,USA,1695,27835.570376905656
53222,Maipu,Cabernet Sauvignon,Brasil,1424,26178.593645009423
51326,San Rafael,Malbec,UK,1275,21453.87510445159
50508,Lujan de Cuyo,Syrah,Brasil,1107,
50881,Valle de Uco,Cabernet Sauvignon,USA,1033,13476.97090583229
52982,Valle de Uco,Cabernet Sauvignon,UK,1250,23526.217930283612
52154,Valle de Uco,Chardonnay,UK,1238,16315.687162541335
53448,Valle de Uco,Chardonnay,Brasil,378,4643.5899399461405
50698,San Rafael,Syrah,USA,1513,29693.936919507232
52449,Lujan de Cuyo,Cabernet Sauvignon,China,955,18608.798112615157
50704,San Rafael,Cabernet Sauvignon,Brasil,1450,20955.785764270993
50677,Valle de Uco,Chardonnay,China,1425,34083.63015937834
52479,Maipu,Syrah,USA,1116,19811.335044971907
51531,Maipu,Cabernet Sauvignon,USA,1112,14170.348560993549
52525,Maipu,Malbec,China,1129,25716.288597271756
52850,Maipu,Syrah,Brasil,1239,15364.414736110613
51199,Valle de Uco,Cabernet Sauvignon,UK,1389,34431.659398798896
52727,San Rafael,Chardonnay,UK,960,23652.61449013897
50920,Maipu,Malbec,USA,1133,18323.590471025538
50302,San Rafael,Chardonnay,China,1024,12307.749074227359
51742,Maipu,Chardonnay,Brasil,1548,36264.941027234345
50184,Lujan de Cuyo,Chardonnay,Brasil,1170,13680.477622230885
52782,Maipu,Chardonnay,Brasil,796,18087.505066474212
52397,Lujan de Cuyo,Malbec,USA,1262,14089.591151753879
51596,Maipu,Syrah,USA,713,7138.071114491404
53144,Valle de Uco,Malbec,Brasil,1188,23705.435468793614
52904,Maipu,Syrah,UK,1581,32814.65506025251
52803,Valle de Uco,Syrah,UK,958,18040.34421488801
50259,San Rafael,Chardonnay,USA,1335,25096.19239622968
51719,Valle de Uco,Syrah,China,895,20681.96799661669
51084,Lujan de Cuyo,Malbec,Brasil,1419,19684.458929112934
50060,Maipu,Chardonnay,UK,1366,18148.242388686616
50540,San Rafael,Chardonnay,China,1438,29445.99158761543
52723,Valle de Uco,Cabernet Sauvignon,China,884,9388.940706225112
50663,San Rafael,Syrah,Brasil,1723,31770.794542660693
51444,Maipu,Chardonnay,Brasil,1064,25566.109264212097
51303,San Rafael,Malbec,China,835,20045.15113640855
52901,Valle de Uco,Chardonnay,USA,1021,12461.611152968884
51147,San Rafael,Chardonnay,USA,1197,24891.687686978115
52213,Valle de Uco,Cabernet Sauvignon,Brasil,1096,19862.896439241686
52183,Maipu,Syrah,China,1420,29823.996235180864
50520,Valle de Uco,Chardonnay,Brasil,311,
51573,Maipu,Malbec,Brasil,1343,31581.010259136867
53166,Lujan de Cuyo,Syrah,USA,1420,26959.049903264335
52158,Maipu,Malbec,China,992,13099.659322067693
50798,San Rafael,Syrah,USA,886,14215.744777502623
52257,Maipu,Malbec,Brasil,1610,29565.216853571546
51855,Valle de Uco,Cabernet Sauvignon,Brasil,742,15177.950812938852
53105,Maipu,Syrah,Brasil,1251,19833.373361203434
52116,Valle de Uco,Syrah,USA,1210,15024.84500823866
52566,Maipu,Syrah,China,1762,27849.691874889853
52645,Maipu,Syrah,Brasil,1119,27151.707753679064
53323,Maipu,Syrah,China,812,18528.821214416865
53088,San Rafael,Cabernet Sauvignon,UK,1354,23902.622188712903
53098,San Rafael,Chardonnay,USA,617,14817.357098298786
51781,Valle de Uco,Syrah,China,1615,31390.34375375218
52467,San Rafael,Cabernet Sauvignon,USA,1156,22544.429483295367
52682,San Rafael,Syrah,USA,1056,12599.888750288119
50600,Lujan de Cuyo,Malbec,UK,1410,23444.790548214987
50361,Valle de Uco,Cabernet Sauvignon,China,1655,35177.547186320386
51404,Lujan de Cuyo,Cabernet Sauvignon,UK,1183,13773.502533691753
52113,San Rafael,Malbec,China,1205,26947.5231194116
53258,Maipu,Malbec,UK,1155,
52481,Maipu,Chardonnay,USA,750,8796.481158740511
52071,Lujan de Cuyo,Syrah,China,746,14758.677428414074
51266,San Rafael,Malbec,Brasil,1508,31017.781589013215
51095,Lujan de Cuyo,Malbec,China,1055,18542.668916335213
52048,San Rafael,Syrah,USA,1335,18680.59955733302
50126,Valle de Uco,Chardonnay,UK,1209,25415.64654030127
50743,Valle de Uco,Cabernet Sauvignon,UK,1406,27821.007594100713
52180,Maipu,Chardonnay,Brasil,1218,21868.55573476334
52810,Lujan de Cuyo,Chardonnay,USA,1203,26792.006694978943
51041,San Rafael,Cabernet Sauvignon,UK,1163,22275.483596934704
53228,Lujan de Cuyo,Cabernet Sauvignon,UK,820,16658.702245297984
53076,San Rafael,Malbec,UK,917,16897.318026402598
51152,Maipu,Syrah,Brasil,924,18232.884089168165
50350,San Rafael,Malbec,UK,1364,32070.51216833645
53140,Valle de Uco,Chardonnay,USA,887,10575.554416385377
51913,Valle de Uco,Syrah,China,601,14366.096479518157
52255,Lujan de Cuyo,Syrah,USA,1130,12303.246283201213
52006,Lujan de Cuyo,Chardonnay,Brasil,1029,17181.07781192461
50135,Maipu,Syrah,UK,611,8250.76227325136
51487,Valle de Uco,Cabernet Sauvignon,USA,18053,21919.23711702201
50760,Maipu,Syrah,UK,1237,23620.01469550843
50578,Lujan de Cuyo,Chardonnay,China,946,10077.81599097802
51176,Valle de Uco,Syrah,USA,1783,37295.997098699496
51423,San Rafael,Chardonnay,USA,1125,22913.718719299937
51346,San Rafael,Malbec,China,1696,36046.56599956623
52598,San Rafael,Cabernet Sauvignon,USA,1525,19782.30895928467
52702,Lujan de Cuyo,Malbec,China,1220,20904.58302346135
52209,Valle de Uco,Chardonnay,China,916,12132.620426520794
50480,Valle de Uco,Syrah,Brasil,771,11808.549413905148
50268,Maipu,Cabernet Sauvignon,China,1216,26714.82815306876
50117,Lujan de Cuyo,Malbec,UK,683,14361.17812033706
50554,Lujan de Cuyo,Syrah,UK,1166,27493.7754793227
53355,San Rafael,Malbec,China,1384,18818.4474401357
50834,Valle de Uco,Syrah,Brasil,707,11946.505739222985
53053,Maipu,Chardonnay,USA,1495,
51661,Valle de Uco,Syrah,China,795,7954.292320931278
50913,Maipu,Chardonnay,USA,1367,22614.877627567486
51040,Maipu,Cabernet Sauvignon,USA,1446,35308.88553946685
52107,Valle de Uco,Chardonnay,USA,466,9145.509491703493
52917,Maipu,Syrah,Brasil,1117,17020.319950194636
52161,Valle de Uco,Syrah,Brasil,1041,10504.5416908405
52507,Maipu,Malbec,China,1636,17553.433770294232
50432,Lujan de Cuyo,Cabernet Sauvignon,USA,1327,19091.782436024485
52392,Lujan de Cuyo,Malbec,Brasil,1296,19718.046950590906
51019,Maipu,Syrah,USA,1499,26512.548396039165
52534,Maipu,Syrah,UK,1404,26715.42419625754
52317,San Rafael,Cabernet Sauvignon,China,1510,28671.958675896953
51614,Lujan de Cuyo,Syrah,Brasil,1284,15446.680318585766
53090,Valle de Uco,Chardonnay,Brasil,861,20030.212941484948
53194,Lujan de Cuyo,Chardonnay,Brasil,1069,16562.46847983195
50801,Valle de Uco,Malbec,Brasil,1232,18667.675549832114
50177,San Rafael,Cabernet Sauvignon,Brasil,1301,17194.635509163396
52442,San Rafael,Malbec,USA,1364,
51193,Maipu,Chardonnay,UK,1161,17956.230170704686
51899,Maipu,Chardonnay,China,1300,23738.465759115523
51335,San Rafael,Chardonnay,USA,1430,21886.3007028153
52371,Maipu,Syrah,USA,1506,21001.41152802438
50078,Maipu,Syrah,UK,920,9668.381311203346
50531,Lujan de Cuyo,Cabernet Sauvignon,USA,830,20453.08492981969
51543,Lujan de Cuyo,Syrah,China,1375,25206.601395552974
50590,San Rafael,Cabernet Sauvignon,USA,944,12477.48022272986
51624,San Rafael,Chardonnay,China,962,12011.796981019863
51687,San Rafael,Chardonnay,Brasil,1358,29530.813477227817
50899,Maipu,Chardonnay,China,1102,24233.60382575585
52872,Maipu,Malbec,USA,774,18435.191113493296
52863,Maipu,Cabernet Sauvignon,China,2031,45124.88855671758
52019,San Rafael,Cabernet Sauvignon,China,1173,25619.943097437324
53395,San Rafael,Cabernet Sauvignon,UK,1561,17285.948024577465
52691,Valle de Uco,Syrah,Brasil,971,23327.126767149042
50414,Maipu,Malbec,USA,1308,21438.48564782651
51117,Valle de Uco,Syrah,USA,1768,23253.524633045334
52000,San Rafael,Syrah,Brasil,1624,37891.18362554519
52555,San Rafael,Chardonnay,USA,1351,32700.048812922087
53019,Lujan de Cuyo,Cabernet Sauvignon,Brasil,801,10715.067548645025
50602,Lujan de Cuyo,Cabernet Sauvignon,China,1279,20308.14162273043
50646,Lujan de Cuyo,Malbec,UK,1477,32913.12971560986
51944,Valle de Uco,Cabernet Sauvignon,UK,1242,13211.702829363421
52012,Valle de Uco,Malbec,USA,1688,30600.80244837873
50761,San Rafael,Syrah,USA,1808,38718.800766534194
52016,San Rafael,Chardonnay,China,860,12252.77010613319
52122,Lujan de Cuyo,Malbec,USA,780,14354.902666891834
50425,Lujan de Cuyo,Syrah,China,1800,
53445,Maipu,Syrah,UK,1075,18294.134283694188
52316,Maipu,Syrah,USA,854,16948.58123494537
